"[all run data]","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts","conflicts"
,"27","14","34","26","33","26","19","28","24","31","35","28","18","32","24","28","23","21","22","27","34","31","24","15","39","35","27","17","24","28"
,"27","14","35","26","33","26","19","28","24","31","35","28","18","32","24","28","25","21","24","29","34","31","24","15","41","37","27","17","24","28"
,"27","14","35","26","33","26","19","28","24","33","35","28","20","36","24","30","25","21","24","31","34","31","26","15","42","37","27","18","28","28"
,"27","16","35","26","33","26","21","28","24","33","35","28","20","36","24","30","25","21","24","31","35","33","26","15","42","37","27","18","28","30"
,"27","18","35","26","33","26","21","28","24","33","37","28","20","36","24","30","25","21","24","33","35","33","26","15","42","39","27","18","28","31"
,"27","18","35","26","33","28","21","29","24","33","37","28","22","36","24","30","25","21","24","33","35","33","26","15","44","39","27","18","28","31"
,"27","20","35","28","33","30","21","31","24","33","37","28","23","36","24","32","27","21","24","33","35","33","26","15","44","39","27","20","28","32"
,"27","20","37","28","33","30","21","31","24","33","39","32","23","36","24","32","28","21","24","33","35","33","26","15","44","39","27","20","28","32"
,"27","20","37","30","35","32","21","31","26","33","39","32","23","36","24","32","30","21","24","33","35","35","26","15","44","39","29","20","28","32"
,"27","20","37","30","35","32","21","31","26","35","39","32","23","36","24","32","30","21","24","37","35","35","26","17","46","39","29","20","28","32"
,"27","21","39","33","35","32","21","31","26","35","39","34","23","36","24","32","30","21","24","38","35","35","26","17","46","41","29","21","28","35"
,"27","21","39","35","35","32","21","31","26","37","41","35","23","36","24","36","30","21","24","38","37","35","28","17","46","43","29","21","28","37"
,"29","21","39","35","35","32","21","31","26","37","42","35","23","36","24","36","30","21","26","40","37","35","28","17","46","43","31","21","28","37"
,"31","21","39","37","35","32","23","33","26","39","42","35","25","36","24","36","30","21","26","40","37","35","28","17","46","43","31","21","30","37"
,"31","21","41","37","35","34","23","33","26","39","42","35","25","36","24","36","30","23","28","40","37","35","28","17","46","43","33","21","30","37"
,"31","21","41","37","35","34","23","33","26","40","42","35","27","36","26","36","30","25","28","42","37","35","28","17","46","43","33","21","32","37"
,"33","23","41","37","35","34","23","33","26","40","42","35","27","36","30","36","30","25","28","42","39","35","28","17","46","43","35","23","32","40"
,"33","23","43","37","37","34","23","33","26","40","42","35","27","38","30","36","30","25","28","42","39","35","28","17","46","45","35","25","34","40"
,"33","23","43","37","37","34","23","33","26","42","42","35","29","38","31","38","30","25","28","42","39","35","28","19","46","50","35","25","35","42"
,"33","24","43","37","37","34","23","33","28","42","42","35","31","38","31","38","32","25","30","42","39","35","28","19","46","50","35","25","35","42"
,"33","24","43","37","37","34","23","35","30","44","42","35","31","38","31","40","32","25","30","42","39","35","28","19","48","50","37","25","37","42"
,"33","27","43","37","37","34","23","35","30","44","42","39","32","38","31","40","32","25","32","42","39","35","28","19","48","50","39","25","37","44"
,"35","27","47","37","37","34","23","37","32","44","42","39","32","38","31","40","32","25","32","42","39","35","30","19","48","50","39","25","37","44"
,"35","27","47","37","39","34","25","37","32","44","44","39","32","38","31","40","32","25","32","42","39","35","32","19","48","50","40","27","38","44"
,"35","27","47","37","39","34","27","37","32","44","44","39","32","38","31","40","32","25","32","44","41","35","32","19","48","53","40","27","38","44"
,"35","27","47","37","39","34","27","37","32","44","46","40","32","38","31","40","34","25","32","44","41","35","34","23","48","53","42","27","38","46"
,"35","27","47","37","39","34","27","37","34","46","46","40","32","38","31","40","34","25","34","44","41","35","34","25","48","53","42","27","38","46"
,"35","27","47","37","39","34","27","37","34","46","46","40","32","38","33","40","34","27","34","45","41","35","36","25","50","53","42","27","38","46"
,"35","27","49","37","40","34","27","37","34","46","48","40","32","38","33","40","35","27","34","47","41","35","36","25","50","53","44","27","38","48"
,"35","29","49","37","40","34","27","37","34","46","48","40","34","38","33","40","35","27","34","49","41","35","38","25","52","53","44","27","38","48"
,"35","31","49","39","40","34","27","39","34","46","48","40","34","38","37","40","35","27","34","49","41","35","38","25","52","53","46","27","38","48"
,"35","31","51","39","40","34","27","39","34","46","48","42","36","38","37","40","35","27","36","49","41","35","38","25","54","53","48","27","38","49"
,"35","31","51","40","42","34","27","39","34","46","48","44","36","38","37","40","35","27","36","49","41","37","38","25","54","53","48","27","38","53"
,"35","33","51","40","42","34","29","39","34","46","48","44","36","42","37","40","35","27","36","49","41","37","38","27","54","53","48","27","38","53"
,"35","35","51","40","42","34","29","40","34","46","50","44","36","43","37","40","35","27","36","49","41","37","38","27","54","57","48","29","40","53"
,"37","36","51","40","42","34","29","40","34","46","50","44","36","44","37","40","35","27","36","49","41","39","38","29","54","59","48","33","40","53"
,"37","36","51","42","42","34","29","42","36","48","50","44","36","44","39","40","35","27","38","49","41","39","38","29","54","59","50","35","40","53"
,"37","36","51","44","42","34","29","44","36","48","50","44","36","46","39","40","35","27","38","49","41","41","38","29","54","59","52","35","42","53"
,"37","38","53","44","44","34","29","44","36","48","52","46","36","46","41","42","37","27","38","49","43","41","40","29","54","60","52","35","42","53"
,"37","38","53","44","46","34","29","44","38","52","52","46","36","46","43","43","37","27","38","49","43","42","40","29","54","60","52","35","44","53"
,"37","38","53","44","46","34","29","44","38","52","52","48","36","47","45","43","41","27","40","49","43","42","40","31","54","60","54","35","44","55"
,"37","38","53","44","51","34","29","46","38","52","54","48","36","47","45","43","41","27","40","51","43","42","40","31","54","62","54","36","44","55"
,"37","38","55","45","51","36","29","46","38","52","54","50","36","47","45","43","41","27","40","53","46","44","40","31","54","62","54","36","46","57"
,"37","38","55","45","53","38","29","48","38","52","54","50","36","47","45","45","43","27","42","53","46","46","40","31","54","62","54","38","46","57"
,"37","38","55","45","53","38","29","48","38","52","54","52","36","47","45","45","43","27","42","53","46","46","40","31","54","62","54","40","46","61"
,"39","38","57","45","53","38","31","48","38","52","54","52","36","47","47","45","45","27","42","53","46","46","40","31","56","62","54","40","46","61"
,"39","40","59","45","53","38","31","48","38","52","54","55","36","47","47","45","45","29","42","55","46","46","42","31","56","62","56","41","46","62"
,"40","40","59","45","53","38","31","48","38","52","54","57","38","47","49","45","45","29","42","56","48","46","42","35","58","62","58","41","46","62"
,"40","40","59","45","53","38","31","48","38","52","54","59","40","47","49","45","45","29","42","56","48","46","42","35","58","62","58","41","46","62"
,"42","42","59","45","53","38","31","49","38","54","54","59","40","47","52","45","47","29","42","56","48","46","42","35","58","62","58","41","46","64"
,"44","42","59","45","53","40","31","49","38","54","54","59","40","47","52","45","47","29","42","56","48","48","42","37","58","62","58","41","46","64"
,"44","42","59","47","53","40","31","49","38","54","56","59","40","47","52","45","47","29","42","56","48","48","42","37","60","62","61","45","48","66"
,"44","42","61","49","53","40","33","49","38","54","56","59","40","47","52","45","47","29","42","56","48","48","42","38","60","62","61","45","48","66"
,"44","42","61","49","53","40","33","52","38","56","56","59","40","47","52","45","47","31","42","56","50","48","44","38","60","64","61","45","48","66"
,"44","43","61","49","53","40","33","52","38","58","56","59","40","47","52","47","47","31","44","58","50","48","44","38","60","64","63","45","48","68"
